Country,Year,State,Type of Region,Month,Peak electricity demand (UOM:MW(MegaWatt)) |Scaling Factor:1,Peak electricity met (UOM:MW(MegaWatt)) |Scaling Factor:1,"Peak Electricity Demand Not Met (UOM:MW(Megawatt)), Scaling Factor:1","Percentage Of Peak Electricity Demand Not Met (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2024",Andaman And Nicobar IslAnds,Eastern Region,"April, 2024",68.4,65.3,3.1,5.00%
India,"Financial Year (Apr - Mar), 2024",Andhra Pradesh,Southern Region,"April, 2024",13418,13418,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Arunachal Pradesh,North East Region,"April, 2024",185.5,185,0.5,0.00%
India,"Financial Year (Apr - Mar), 2024",Assam,North East Region,"April, 2024",2012,2012,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Bihar,Eastern Region,"April, 2024",6948.929872,6948.929872,0,0.00%
India,"Financial Year (Apr - Mar), 2024",ChAndigarh,Northern Region,"April, 2024",258,258,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Chhattisgarh,Western Region,"April, 2024",6366.742263,6346.75,19.99,0.00%
India,"Financial Year (Apr - Mar), 2024",Delhi,Northern Region,"April, 2024",5447,5447,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Goa,Western Region,"April, 2024",802.5,802.5,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Gujarat,Western Region,"April, 2024",23932.7412,23916,16.74,0.00%
India,"Financial Year (Apr - Mar), 2024",Haryana,Northern Region,"April, 2024",9502,9502,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Himachal Pradesh,Northern Region,"April, 2024",1819,1819,0,0.00%
India,"Financial Year (Apr - Mar), 2024",JharkhAnd,Eastern Region,"April, 2024",2133.436898,2133.436898,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Karnataka,Southern Region,"April, 2024",17015.268,16985.375,29.89,0.00%
India,"Financial Year (Apr - Mar), 2024",Kerala,Southern Region,"April, 2024",5904.416667,5630.788,273.63,5.00%
India,"Financial Year (Apr - Mar), 2024",Lakshadweep,Southern Region,"April, 2024",12.30515,12.23,0.08,1.00%
India,"Financial Year (Apr - Mar), 2024",Madhya Pradesh,Western Region,"April, 2024",13151,13151,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Maharashtra,Western Region,"April, 2024",28924,28924,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Manipur,North East Region,"April, 2024",214,214,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Meghalaya,North East Region,"April, 2024",408.734,408,0.73,0.00%
India,"Financial Year (Apr - Mar), 2024",Mizoram,North East Region,"April, 2024",130,130,0,0.00%
India,"Financial Year (Apr - Mar), 2024",NagalAnd,North East Region,"April, 2024",166,166,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Odisha,Eastern Region,"April, 2024",6609.256049,6602.359027,6.9,0.00%
India,"Financial Year (Apr - Mar), 2024",Puducherry,Southern Region,"April, 2024",529.590088,529.590088,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Punjab,Northern Region,"April, 2024",9914.048162,9914.048162,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Rajasthan,Northern Region,"April, 2024",14283,14283,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Sikkim,Eastern Region,"April, 2024",111.3560128,111.34627,0.01,0.00%
India,"Financial Year (Apr - Mar), 2024",Tamil Nadu,Southern Region,"April, 2024",20326.3005,20326.3005,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Telangana,Southern Region,"April, 2024",13915.60517,13884,31.61,0.00%
India,"Financial Year (Apr - Mar), 2024",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"April, 2024",1292,1292,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Tripura,North East Region,"April, 2024",363,363,0,0.00%
India,"Financial Year (Apr - Mar), 2024",Uttar Pradesh,Northern Region,"April, 2024",25462,25462,0,0.00%
India,"Financial Year (Apr - Mar), 2024",UttarakhAnd,Northern Region,"April, 2024",2357,2357,0,0.00%
India,"Financial Year (Apr - Mar), 2024",West Bengal,Eastern Region,"April, 2024",12644.808,12640.25518,4.55,0.00%
India,"Financial Year (Apr - Mar), 2023",Andaman And Nicobar IslAnds,Eastern Region,"March, 2024",65,60,5,8.00%
India,"Financial Year (Apr - Mar), 2023",Andhra Pradesh,Southern Region,"March, 2024",13237.345,13237.345,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Arunachal Pradesh,North East Region,"March, 2024",177.053,177,0.05,0.00%
India,"Financial Year (Apr - Mar), 2023",Assam,North East Region,"March, 2024",1810.358,1782,28.36,2.00%
India,"Financial Year (Apr - Mar), 2023",Bihar,Eastern Region,"March, 2024",5869.009485,5868.495992,0.51,0.00%
India,"Financial Year (Apr - Mar), 2023",ChAndigarh,Northern Region,"March, 2024",237,237,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Chhattisgarh,Western Region,"March, 2024",6148,6148,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Delhi,Northern Region,"March, 2024",4482,4482,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Goa,Western Region,"March, 2024",766.5,766.5,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Gujarat,Western Region,"March, 2024",21843,21843,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Haryana,Northern Region,"March, 2024",7747,7747,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Himachal Pradesh,Northern Region,"March, 2024",1982,1982,0,0.00%
India,"Financial Year (Apr - Mar), 2023",JharkhAnd,Eastern Region,"March, 2024",1994.673526,1816.745603,177.93,9.00%
India,"Financial Year (Apr - Mar), 2023",Karnataka,Southern Region,"March, 2024",17212.48,17212.48,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Kerala,Southern Region,"March, 2024",5283.7078,5283.7078,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Lakshadweep,Southern Region,"March, 2024",12.30515,12.23,0.08,1.00%
India,"Financial Year (Apr - Mar), 2023",Madhya Pradesh,Western Region,"March, 2024",13594,13594,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Maharashtra,Western Region,"March, 2024",28795.3435,28735,60.34,0.00%
India,"Financial Year (Apr - Mar), 2023",Manipur,North East Region,"March, 2024",226,226,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Meghalaya,North East Region,"March, 2024",398.836,398,0.84,0.00%
India,"Financial Year (Apr - Mar), 2023",Mizoram,North East Region,"March, 2024",136.204,136,0.2,0.00%
India,"Financial Year (Apr - Mar), 2023",NagalAnd,North East Region,"March, 2024",158.112,157,1.11,1.00%
India,"Financial Year (Apr - Mar), 2023",Odisha,Eastern Region,"March, 2024",6138.040829,6138.040829,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Puducherry,Southern Region,"March, 2024",466.958104,466.958104,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Punjab,Northern Region,"March, 2024",10112.2,10112.2,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Rajasthan,Northern Region,"March, 2024",17030,17030,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Sikkim,Eastern Region,"March, 2024",119.2929989,119.240831,0.05,0.00%
India,"Financial Year (Apr - Mar), 2023",Tamil Nadu,Southern Region,"March, 2024",19040.622,19040.622,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Telangana,Southern Region,"March, 2024",15622.0575,15622.0575,0,0.00%
India,"Financial Year (Apr - Mar), 2023",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"March, 2024",1283,1283,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Tripura,North East Region,"March, 2024",287.753,287.753,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Uttar Pradesh,Northern Region,"March, 2024",21243,21243,0,0.00%
India,"Financial Year (Apr - Mar), 2023",UttarakhAnd,Northern Region,"March, 2024",2260,2260,0,0.00%
India,"Financial Year (Apr - Mar), 2023",West Bengal,Eastern Region,"March, 2024",9955.766726,9955.766726,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Andaman And Nicobar IslAnds,Eastern Region,"February, 2024",65,60,5,8.00%
India,"Financial Year (Apr - Mar), 2023",Andhra Pradesh,Southern Region,"February, 2024",13061,13061,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Arunachal Pradesh,North East Region,"February, 2024",186.391,186,0.39,0.00%
India,"Financial Year (Apr - Mar), 2023",Assam,North East Region,"February, 2024",1635.961,1634,1.96,0.00%
India,"Financial Year (Apr - Mar), 2023",Bihar,Eastern Region,"February, 2024",5115.153589,5106.66376,8.49,0.00%
India,"Financial Year (Apr - Mar), 2023",ChAndigarh,Northern Region,"February, 2024",304,304,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Chhattisgarh,Western Region,"February, 2024",5819.10365,5813,6.1,0.00%
India,"Financial Year (Apr - Mar), 2023",Delhi,Northern Region,"February, 2024",5406,5406,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Goa,Western Region,"February, 2024",749,749,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Gujarat,Western Region,"February, 2024",21248,21248,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Haryana,Northern Region,"February, 2024",8868,8868,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Himachal Pradesh,Northern Region,"February, 2024",2133,2133,0,0.00%
India,"Financial Year (Apr - Mar), 2023",JharkhAnd,Eastern Region,"February, 2024",1835.256092,1835.256092,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Karnataka,Southern Region,"February, 2024",16632.3475,16632.3475,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Kerala,Southern Region,"February, 2024",4826.8239,4826.8239,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Lakshadweep,Southern Region,"February, 2024",12.23,12.23,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Madhya Pradesh,Western Region,"February, 2024",16997.9472,16992,5.95,0.00%
India,"Financial Year (Apr - Mar), 2023",Maharashtra,Western Region,"February, 2024",28969,28969,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Manipur,North East Region,"February, 2024",251.929,235,16.93,7.00%
India,"Financial Year (Apr - Mar), 2023",Meghalaya,North East Region,"February, 2024",399,399,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Mizoram,North East Region,"February, 2024",155,155,0,0.00%
India,"Financial Year (Apr - Mar), 2023",NagalAnd,North East Region,"February, 2024",156,156,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Odisha,Eastern Region,"February, 2024",5393.286701,5388.571701,4.72,0.00%
India,"Financial Year (Apr - Mar), 2023",Puducherry,Southern Region,"February, 2024",464.955414,464.955414,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Punjab,Northern Region,"February, 2024",10180.12,10180.12,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Rajasthan,Northern Region,"February, 2024",17867,17867,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Sikkim,Eastern Region,"February, 2024",132.9169343,132.511119,0.41,0.00%
India,"Financial Year (Apr - Mar), 2023",Tamil Nadu,Southern Region,"February, 2024",17996.1874,17996.1874,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Telangana,Southern Region,"February, 2024",15164,15164,0,0.00%
India,"Financial Year (Apr - Mar), 2023",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"February, 2024",1304,1304,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Tripura,North East Region,"February, 2024",419.003,418,1,0.00%
India,"Financial Year (Apr - Mar), 2023",Uttar Pradesh,Northern Region,"February, 2024",20346,19726,620,3.00%
India,"Financial Year (Apr - Mar), 2023",UttarakhAnd,Northern Region,"February, 2024",2523,2328,195,8.00%
India,"Financial Year (Apr - Mar), 2023",West Bengal,Eastern Region,"February, 2024",7607.968845,7607.968845,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Andaman And Nicobar IslAnds,Eastern Region,"January, 2024",63,60,3,5.00%
India,"Financial Year (Apr - Mar), 2023",Andhra Pradesh,Southern Region,"January, 2024",12216,12216,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Arunachal Pradesh,North East Region,"January, 2024",181,181,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Assam,North East Region,"January, 2024",1538,1538,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Bihar,Eastern Region,"January, 2024",5715.310792,5715.310792,0,0.00%
India,"Financial Year (Apr - Mar), 2023",ChAndigarh,Northern Region,"January, 2024",348,348,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Chhattisgarh,Western Region,"January, 2024",5337.7338,5334,3.73,0.00%
India,"Financial Year (Apr - Mar), 2023",Delhi,Northern Region,"January, 2024",5816,5816,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Goa,Western Region,"January, 2024",720.5073,719.5,1.01,0.00%
India,"Financial Year (Apr - Mar), 2023",Gujarat,Western Region,"January, 2024",21861,21861,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Haryana,Northern Region,"January, 2024",9530,9530,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Himachal Pradesh,Northern Region,"January, 2024",2181,2181,0,0.00%
India,"Financial Year (Apr - Mar), 2023",JharkhAnd,Eastern Region,"January, 2024",1908.051113,1904.717857,3.33,0.00%
India,"Financial Year (Apr - Mar), 2023",Karnataka,Southern Region,"January, 2024",15668.4525,15668.4525,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Kerala,Southern Region,"January, 2024",4339.6619,4339.6619,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Lakshadweep,Southern Region,"January, 2024",11.48965,11.48965,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Madhya Pradesh,Western Region,"January, 2024",18252,17817,435,2.00%
India,"Financial Year (Apr - Mar), 2023",Maharashtra,Western Region,"January, 2024",28650.997,28650.997,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Manipur,North East Region,"January, 2024",257.851,248,9.85,4.00%
India,"Financial Year (Apr - Mar), 2023",Meghalaya,North East Region,"January, 2024",405,405,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Mizoram,North East Region,"January, 2024",162,162,0,0.00%
India,"Financial Year (Apr - Mar), 2023",NagalAnd,North East Region,"January, 2024",162.923,162,0.92,1.00%
India,"Financial Year (Apr - Mar), 2023",Odisha,Eastern Region,"January, 2024",5040.510653,5040.510653,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Puducherry,Southern Region,"January, 2024",452.556213,452.556213,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Punjab,Northern Region,"January, 2024",9370.44,9370.44,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Rajasthan,Northern Region,"January, 2024",18128,18128,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Sikkim,Eastern Region,"January, 2024",127.979963,127.979963,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Tamil Nadu,Southern Region,"January, 2024",16620.9638,16620.9638,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Telangana,Southern Region,"January, 2024",13810,13810,0,0.00%
India,"Financial Year (Apr - Mar), 2023",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"January, 2024",1294,1294,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Tripura,North East Region,"January, 2024",354,354,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Uttar Pradesh,Northern Region,"January, 2024",22703,22703,0,0.00%
India,"Financial Year (Apr - Mar), 2023",UttarakhAnd,Northern Region,"January, 2024",2635,2405,230,9.00%
India,"Financial Year (Apr - Mar), 2023",West Bengal,Eastern Region,"January, 2024",7267.698761,7267.698761,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Andaman And Nicobar IslAnds,Eastern Region,"December, 2023",63,60,3,5.00%
India,"Financial Year (Apr - Mar), 2023",Andhra Pradesh,Southern Region,"December, 2023",11052,11052,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Arunachal Pradesh,North East Region,"December, 2023",163.245,163,0.25,0.00%
India,"Financial Year (Apr - Mar), 2023",Assam,North East Region,"December, 2023",1553,1553,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Bihar,Eastern Region,"December, 2023",5094.873316,5094.873316,0,0.00%
India,"Financial Year (Apr - Mar), 2023",ChAndigarh,Northern Region,"December, 2023",201,201,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Chhattisgarh,Western Region,"December, 2023",4725.75,4725.75,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Delhi,Northern Region,"December, 2023",4884,4884,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Goa,Western Region,"December, 2023",704.242625,703.75,0.49,0.00%
India,"Financial Year (Apr - Mar), 2023",Gujarat,Western Region,"December, 2023",21430.4784,21408,22.48,0.00%
India,"Financial Year (Apr - Mar), 2023",Haryana,Northern Region,"December, 2023",8225,8225,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Himachal Pradesh,Northern Region,"December, 2023",2162,2162,0,0.00%
India,"Financial Year (Apr - Mar), 2023",JharkhAnd,Eastern Region,"December, 2023",1810.039317,1808.931347,1.11,0.00%
India,"Financial Year (Apr - Mar), 2023",Karnataka,Southern Region,"December, 2023",15005,15005,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Kerala,Southern Region,"December, 2023",4259.5937,4259.5937,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Lakshadweep,Southern Region,"December, 2023",10.1361,10.1361,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Madhya Pradesh,Western Region,"December, 2023",17819,17819,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Maharashtra,Western Region,"December, 2023",27755,27755,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Manipur,North East Region,"December, 2023",235.847,235,0.85,0.00%
India,"Financial Year (Apr - Mar), 2023",Meghalaya,North East Region,"December, 2023",349,349,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Mizoram,North East Region,"December, 2023",140.251,140,0.25,0.00%
India,"Financial Year (Apr - Mar), 2023",NagalAnd,North East Region,"December, 2023",161.894,157,4.89,3.00%
India,"Financial Year (Apr - Mar), 2023",Odisha,Eastern Region,"December, 2023",5071.228887,5071.228887,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Puducherry,Southern Region,"December, 2023",431.181091,431.181091,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Punjab,Northern Region,"December, 2023",8040.68,8040.68,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Rajasthan,Northern Region,"December, 2023",17570,17570,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Sikkim,Eastern Region,"December, 2023",109.301003,109.301003,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Tamil Nadu,Southern Region,"December, 2023",15557.5856,15557.5856,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Telangana,Southern Region,"December, 2023",12666,12666,0,0.00%
India,"Financial Year (Apr - Mar), 2023",The Dadra And Nagar Haveli And Daman And Diu,Western Region,"December, 2023",1281,1281,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Tripura,North East Region,"December, 2023",239.979,239,0.98,0.00%
India,"Financial Year (Apr - Mar), 2023",Uttar Pradesh,Northern Region,"December, 2023",19874,19874,0,0.00%
India,"Financial Year (Apr - Mar), 2023",UttarakhAnd,Northern Region,"December, 2023",2417,2417,0,0.00%
India,"Financial Year (Apr - Mar), 2023",West Bengal,Eastern Region,"December, 2023",6902.812771,6902.812771,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Andaman And Nicobar IslAnds,Eastern Region,"November, 2023",64,57,7,11.00%
India,"Financial Year (Apr - Mar), 2023",Andhra Pradesh,Southern Region,"November, 2023",12084,12084,0,0.00%
India,"Financial Year (Apr - Mar), 2023",Arunachal Pradesh,North East Region,"November, 2023",160,160,0,0.00%
